CourseName,Description,Mean,subject
LAW 794,"Credit: 1 TO 4 hours.
Course Description: This is an umbrella course listing in business law for specialty topics of current interest.
",3.3867741935483875,LAW
RST 341,,3.4195,RST
ECON 490,"Credit: 3 OR 4 hours.
Course Description: Special topics in advanced economics within a variety of areas. See course schedule for topics.
Prerequisite: ECON 202; ECON 302 or ECON 303; MATH 220 or MATH 221 or other Calculus course. Some topics may require additional prerequisites, read the section text for each topic.",3.3182608695652176,ECON
CS 527,"Credit: 4 hours.
Course Description: Fault-tolerant software, software architecture, software patterns, multi-media software, and knowledge-based approaches to software engineering. Case studies.
Prerequisite: CS 428, CSE 429 or CS 429.",3.821153846153846,CS
EPS 500,,3.438285714285714,EPS
FSHN 450,"Credit: 2 hours.
Course Description: Discussion of current topics in dietetics, professional issues (ethics, outcomes research, marketing, legislation, registered dietitian exam) and preparing for dietetic internships. Required of all dietetics students.
Prerequisite: Senior standing in dietetics.",3.847605633802817,FSHN
FSHN 595,"Credit: 1 to 4 hours.
Course Description: Studies of selected topics in Food Science. Study may be on specialized topics in any one of the following fields: food chemistry, food microbiology, nutrition, food processing/engineering. Lectures and/or laboratory.
Prerequisite: Graduate level status or consent of instructor.",3.908733333333333,FSHN
CS 567,,3.857619047619048,CS
ENGL 280/GWS 280,"Credit: 3 hours.
Course Description: Study of British and American women authors.
Prerequisite: Completion of the Composition I requirement.",3.192666666666667,ENGL
ECE 598,"Credit: 0 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
",3.89180412371134,ECE
LAW 792,"Credit: 1 TO 4 hours.
Course Description: This is an umbrella course listing for specialty topics of current legal issues of interest.
",3.346538461538461,LAW
CLCV 250,"Credit: 3 hours.
Course Description: Introduces the role of sports in ancient Greek and Roman society. We will cover the period from roughly 3000 B.C.E. to the sixth century C.E., from the Bronze Age to the rise of Christianity and the decline of Greek and Roman sanctuaries. Because sports touched the lives of almost everyone in ancient Greece and Rome, we will also have a chance to study the full and vibrant diversity of ancient Mediterranean societies in terms of gender, race, class, and numerous other factors that have historically received less attention than they deserve in scholarship and in the classroom.
",3.6787719298245616,CLCV
RLST 108,,3.714957780458383,RLST
ENGL 455,"Credit: 3 OR 4 hours.
Course Description: Intensive study of the work of one or two major authors.
Prerequisite: One year of college literature or consent of instructor.",3.629090909090909,ENGL
ME 412/CSE 412,"Credit: 2 TO 4 hours.
Course Description: Numerical techniques for solving the equations governing conduction and convective heat transfer in steady and unsteady fluid flows: finite-difference and finite-volume techniques, basic algorithms, and applications to real-world fluid-flow and heat-transfer problems.
Prerequisite: ME 310 OR TAM 335; ME 320.",3.5273076923076925,ME
ENGL 274,,1.651428571428571,ENGL
STAT 430,"Credit: 3 OR 4 hours.
Course Description: Formulation and analysis of mathematical models for random phenomena; extensive involvement with the analysis of real data; and instruction in statistical and computing techniques as needed.
Prerequisite: STAT 410; STAT 425. Some topics may require additional prerequisites. Read the section text for each topic.",3.43734375,STAT
DANC 212,,3.615384615384616,DANC
CHEM 572/MCB 553,,3.710869565217391,CHEM
EURO 199,"Credit: 1 TO 5 hours.
Course Description: 
",3.333703703703704,EURO
PHYS 504,"Credit: 4 hours.
Course Description: Single-particle distribution functions; classical and quantum mechanical systems, Boltzmann equation, virial theorem, and equations of state for gases; formal theory: ensembles, identical particles, thermodynamics of simple systems, and distribution functions; nonequilibrium problems; conservation laws and hydrodynamic equations, sound waves, and transport coefficients; plasmas, normal Fermi fluid, superfluids, and systems with internal degrees of freedom.
Prerequisite: PHYS 427 and PHYS 486.",3.6339543726235743,PHYS
HIST 353,"Credit: 3 hours.
Course Description: Survey of European society from 1918 to 1939, with emphasis on the impact of World War I, the Russian Revolution, fascism, and the intellectual trends of the twenties and thirties.
",3.499448275862069,HIST
LING 222,"Credit: 3 hours.
Course Description: Introduction to the role of language in globalization by examining communication issues concerning language use across cultural, political and geographic boundaries. Explores the interaction of language and other cultural forms in the global context. Among the topics discussed are issues of identity, spread of English and its acculturation to local contexts of use, creativity in language mixing, language in global pop cultures, language in cyberspace, as well as minority language experiences, and loss of indigenous languages.
",3.306635071090048,LING
PHYS 598,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in physics intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
",3.8490909090909096,PHYS
TAM 251,"Credit: 3 hours.
Course Description: Relationship between internal stresses and deformations produced by external forces acting on deformable bodies, and design principles based on mechanics of solids: normal stresses, shear stresses, and deformations produced by tensile, compressive, torsional, and bending loading of members; beam deflections; elastic energy and impact; multi-dimensional stress states; buckling of columns.
Prerequisite: TAM 210 or TAM 211.",2.869047177312483,TAM
REHB 435,"Credit: 2 hours.
Course Description: Examines theories of job placement, job seeking skills, and techniques for outreach with employees. Focuses on a systems approach to job placement for persons with disabilities. Topics include supported employment, labor market trends, and job restructuring. Lab time with disabled clients who are active in the job search process is required.
",3.613399999999999,REHB
IS 510,"Credit: 4 hours.
Course Description: Explores major issues in the library and information science professions as they involve their communities of users and sponsors. Analyzes specific situations that reflect the professional agenda of these fields, including intellectual freedom, community service, professional ethics, social responsibilities, intellectual property, literacy, historical and international models, the socio-cultural role of libraries and information agencies and professionalism in general, focusing in particular on the interrelationships among these issues.
Prerequisite: Required M.S. in library and information science degree core course.",3.8653689567430014,IS
ECE 598,"Credit: 0 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
",3.347826086956522,ECE
IB 481,,3.8413636363636368,IB
ARTH 299,"Credit: 3 hours.
Course Description: Special topics in Art History Courses. Topics and subject matter to be published in course listings.
Prerequisite: Sophomore standing in Art and Design.",3.7196875,ARTH
SOCW 300,"Credit: 3 hours.
Course Description: This introductory course explores multiple dimensions of diversity in a pluralistic and increasingly globalized society. Using a social work strengths perspective as well as historical, constructivist, and critical conceptual frameworks; the course examines issues of identity, culture, privilege stigma, prejudice, and discrimination. The social construction and implications of race, class, gender, sexual orientation, and other dimensions of difference is examined at individual, interpersonal, and systems levels. Students are expected to use the course material to explore their personal values, biases, family backgrounds, culture, and formative experiences in order to deepen their self-awareness and develop interpersonal skills in bridging differences. Finally, students apply learning from the course to identify characteristics of effective social work and other health and human service provision among people culturally different themselves; and to identify opportunities for change contributing to prejudice reduction and cross-cultural acceptance at home, work and in society.
",3.501293532338308,SOCW
EPOL 562,"Credit: 4 hours.
Course Description: Explores critical topics and issues related to diversity in higher education, including race/ethnicity, class, and gender. Covers current research that explores diversity in higher education, institutional diversity policies and organizational behaviors, campus constituents, and the role of external groups. The course consists of reading, in-class discussion, group exercise, and completing a research project that is of interest to the student.
",3.889393939393939,EPOL
CMN 496,"Credit: 3 OR 4 hours.
Course Description: Advanced topics in communication not treated in regularly scheduled courses; see Class Schedule for current topics.
",3.2140000000000004,CMN
BADM 524,,3.7733463035019454,BADM
GLBL 296,"Credit: 1 hours.
Course Description: Examination of current controversies and larger ethical issues in today's global society. Topics could include: immigration, global environmental debates, and population issues.
",3.4133333333333336,GLBL
CPSC 593,"Credit: 1 TO 8 hours.
Course Description: Directed studies of selected problems or topics relevant to Crop Sciences. Study may be in one of the following fields: 1) Plant Breeding and Genetics; 2) Plant Molecular Biology; 3) Plant Physiology; 4) Crop Production and Ecology; 5) Biometrics; 6) Plant Pathology; 7) Entomology; and 8) Weed Science.
Prerequisite: Consent of instructor.",3.809523809523809,CPSC
CMN 102,"Credit: 4 hours.
Course Description: Provides students with an overview of the major areas of study across the diverse field of Communication. Attention is given to the study of argumentation, persuasion, mediated communication effects, rhetoric, face-to-face communication with family, friends, and romantic partners, social support, nonverbal and verbal communication, group communication, health communication, organizational communication, race and communication, sports and communication, and common research methods in the field.
",3.093192502688585,CMN
BADM 555,"Credit: 4 hours.
Course Description: Addresses issues relevant to the development of large-scale information systems including systems concepts and thinking, systems development life cycle, objectives, methodology and deliverables in each phase, behavioral implications of systems development and integration information systems with business processes.
",3.728861538461538,BADM
ENGL 300,,3.3244262295081968,ENGL
ARCH 468,"Credit: 3 hours.
Course Description: This course is designed to enrich the professional development of students in a study abroad location. Students participate in thematic workshops, seminars, lectures and field trips focused on understanding and analyzing architectural and urbanistic landmarks and settings on site through both directed and independent assignments.
Prerequisite: Senior standing in the School of Architecture.",3.504266365688488,ARCH
FIN 580,"Credit: 0 TO 4 hours.
Course Description: Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites.
Prerequisite: Varies by section.",3.7908144796380094,FIN
HIST 467,,2.9734615384615384,HIST
AAS 287,,3.8286055776892423,AAS
MBA 505,,3.56968,MBA
CS 199,"Credit: 0 TO 5 hours.
Course Description: Topics vary.
",3.617037037037037,CS
LER 590,"Credit: 0 TO 8 hours.
Course Description: Students in labor and industrial relations may register for this unit with the consent of the curriculum adviser and the adviser under whom the student will perform individual study or research. Such individual work may include special study in a subject matter for which no course is available or an individual research project, including on-the-job research in industry, which is not being undertaken for a thesis.
",3.2962962962962963,LER
GWS 345/INFO 345/MACS 345/SOC 345,"Credit: 3 hours.
Course Description: This interdisciplinary course uses the lens of gender critique and pairs it with social activism to provide students analytical tools to engage with, reshape, and create digital cultures. Examines recent research and public policies related to the gendered, raced, and classes dimensions of digital cultures and inequality; the broad range of labor issues embedded in the growing income disparity related to digital cultures; the various ways that digital inequality has been defined by public policy, sociologists, and activists, and real examples of collective activism and social change related to emerging technologies.
",3.631578947368421,GWS
STAT 571,"Credit: 4 hours.
Course Description: Inference in multivariate statistical populations emphasizing the multivariate normal distribution; derivation of tests, estimates, and sampling distributions; and examples from the natural and social sciences.
Prerequisite: STAT 410 and MATH 415, or consent of instructor.",3.774328703703704,STAT
DANC 105,,3.897307692307692,DANC
MSE 498,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in materials science and engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
",3.882957746478873,MSE
IB 203,"Credit: 4 hours.
Course Description: The links between evolution and ecology, population dynamics, community structure and function, and ecosystem function on local and global scales. Basic ecology needed to understand environmental problems and to conserve biodiversity. Investigations in both field and laboratory included.
Prerequisite: IB 150 and MCB 150.",3.77078125,IB
ACE 406,"Credit: 3 OR 4 hours.
Course Description: Examination of environmental law issues. Topics include common-law pollution control; role of administrative agencies and courts; federal and state power; air and water pollution; regulation of toxic substances; protection of land, soil and other natural resources.
Prerequisite: Sophomore or higher standing.",2.859979633401222,ACE
PS 373,"Credit: 3 hours.
Course Description: Examines theories of the nature and conditions of democracy; compares and analyzes contemporary democratic institutions.
Prerequisite: PS 270, six hours of Political Science credit, or consent of instructor.",2.9845454545454544,PS
PS 220,"Credit: 3 hours.
Course Description: Surveys the policy process including adoption, implementation, and evaluation. Topics may include reviews of substantive policy issues such as crime, energy, environment, poverty, foreign policy, civil liberties, or economic regulation.
Prerequisite: PS 100 or PS 101, or consent of instructor.",2.9661667315933,PS
VCM 685,,3.941372549019608,VCM
UP 335/SOCW 335,,3.227234042553192,UP
CEE 453,"Credit: 4 hours.
Course Description: Hydraulic analysis and design of urban, highway, airport, and small rural watershed drainage problems; discussion of overland and drainage channel flows; hydraulics of storm-drain systems and culverts; determination of design flow; runoff for highways, airports, and urban areas; design of drainage gutters, channels, sewer networks, and culverts.
Prerequisite: CEE 350.",3.307905982905983,CEE
DANC 116,"Credit: 2 hours.
Course Description: An umbrella course for non-majors to explore all beginning dancing technique courses offered in the Department. Courses are offered from a range of cultural origins and traditions, which may include techniques such as Ballet, Capoeira, Contemporary Modern, Hip Hop, House, Improvisation, Jazz, Tap, Umfundalai, West African, etc. Specific dance forms for each semester will be listed in the class schedule. These introductory courses provide students with the physical study of various dance techniques, and an introduction to the cultural contest of their creation and practice.
Prerequisite: Restricted to non-dance majors.",3.812173913043479,DANC
GLBL 296,"Credit: 1 hours.
Course Description: Examination of current controversies and larger ethical issues in today's global society. Topics could include: immigration, global environmental debates, and population issues.
",3.3068,GLBL
HORT 442,,3.826136363636364,HORT
FSHN 340,"Credit: 4 hours.
Course Description: Introduction to the management of commercial and noncommerical foodservice systems through the operation of Bevier Cafe. Students experience managing the procurement, production and service of food, as well as the sanitation and maintenance of equipment and facilities.
Prerequisite: FSHN 232 and credit or concurrent registration in FSHN 249 and FSHN 345.",3.8530232558139534,FSHN
LER 130,"Credit: 3 hours.
Course Description: Do working people have a history worth studying? What does the history of the U.S. look like when viewed from the point of view of those who built the country? Introduces U.S. labor and working class history. Examines the conditions of life and work of the various groups of working people: enslaved, indentured, small farmers, but especially wage workers and their families from the civil War to the present. Studies the main collective actions workers have taken to protect and improve their lives and the organizations and social movements they created to do this. Students who complete LER 130 and want a more in-depth look at the subject should enroll in HIST 480.
",3.0122222222222224,LER
LAS 399,"Credit: 1 to 3 hours.
Course Description: Leadership and professional development seminar for student interns. Interns will learn teaching, mentoring, leadership and professional skills that will enable them to lead a section of an LAS transition course or experience and share their successful academic experiences with undergraduate students who are new to the University. Interns will help their students develop the skills necessary to succeed at the U of I.
Prerequisite: Instructor approval required.",3.855,LAS
RLST 214,,3.3003536977491965,RLST
GGIS 106,"Credit: 3 hours.
Course Description: A survey of major world regions by systematically considering five themes: environment, population and settlement patterns, cultural coherence and diversity, geopolitical fragmentation and unity, and economic and social development. While examining the persistence of unique regions, the course will both scale up to global linkages and scale down to place-specific impacts of globalization processes.
",3.494516129032258,GGIS
ENG 298,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites.
",3.115549738219896,ENG
ACE 454,,2.8566007905138338,ACE
ACCY 201,"Credit: 3 hours.
Course Description: Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control.
Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3.094687897077509,ACCY
SOCW 240,"Credit: 3 hours.
Course Description: This course will focus on various aspects of death and dying. Content will examine different types of death, impact of death throughout the lifespan, cultural beliefs and practices regarding death and dying, grief, healing after loss, legal and ethical issues related to death, and the roll of social workers at the end of life. Students will be encouraged to examine their own thoughts, values, feeling, and beliefs about death and dying.
",3.419103690685413,SOCW
MCB 101,"Credit: 2 hours.
Course Description: Laboratory introduction to the techniques employed in the investigation of microbial activities and properties; experiments designed to familiarize the student with the handling, identification, and characterization of microorganisms and their activities, particularly those of interest to man.
Prerequisite: Credit or concurrent registration in MCB 100.",3.351735838474481,MCB
ARTH 114/EALC 114,,2.833571428571428,ARTH
LER 199,"Credit: 1 TO 5 hours.
Course Description: 
",3.1245762711864407,LER
IS 590,"Credit: 2 OR 4 hours.
Course Description: Variety of newly developed and advanced topics courses within the field of information foundations, intended to augment the existing Information Sciences curricula.
",3.768741721854305,IS
BADM 543,"Credit: 2 OR 4 hours.
Course Description: Technological change is a fundamental challenge and opportunity for business leaders in the modern economy. This course deals with concepts and analytical frameworks for strategizing and managing in an environment of technological upheaval and constant innovation. Broadly, students are exposed to ideas about how firms create value through new technologies, and how they in turn capture some of that value to make profits. Specific topics include sources and patterns of innovation, business models, first mover advantages, barriers to imitation, technology commercialization modes, network effects and standards competition, creative destruction and technological disruption, alliances and collaboration, and strategic renewal. The course aims to impart the strategic toolkits and skills required to manage dynamic technology-intensive businesses.
",3.58928,BADM
MUS 414,"Credit: 3 hours.
Course Description: Examination of the social context, function and meaning of music/music-making in one or more communities, from one or more areas of the world, in one or more time periods. May address music in relation to such social issues as gender and sexualities, ethnicity, politics, etc.
Prerequisite: MUS 313 and MUS 314, and junior standing in music; or consent of instructor.",2.706153846153846,MUS
