YearTerm,Primary Instructor,CourseFull,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2023-sp,"Challen, Geoffrey W",CS 124,0,466,80,44,37,20,12,11,5,5,5,4,22,4
2023-sp,"Nowak, Michael",CS 128,0,683,40,57,42,30,10,17,6,0,16,2,50,11
2023-sp,"Vasisht, Deepak",CS 438/ECE 438,10,48,50,28,22,2,0,0,0,0,0,0,3,0
2023-sp,"Wang, Gang",CS 463/ECE 424,79,15,19,7,5,1,2,1,0,0,1,0,3,1
2023-sp,"Hoiem, Derek W",CS 441,284,23,11,5,4,1,2,2,2,0,0,0,5,0
2023-sp,"Marini, Nicole J",DANC 201,1,18,2,3,1,0,0,0,1,0,0,0,0,0
2023-sp,"Price, Julie P",CW 100,0,30,10,5,0,1,1,0,0,0,0,0,0,0
2023-sp,"Sanders, Ted",CW 100,0,9,0,2,1,1,0,2,0,1,3,0,2,0
2023-sp,"McVicker, Zachariah P",CW 243,2,8,3,4,1,0,0,1,0,0,1,0,1,2
2023-sp,"Mehta, Rini B",CWL 207/MACS 207,0,260,27,4,1,0,0,0,0,0,0,0,0,1
2023-sp,"Barnard, John L",CWL 242,0,35,15,10,7,6,1,2,0,2,0,0,4,0
2023-sp,"Gilmore, Adanya N",DANC 100,0,21,2,0,1,1,0,0,1,0,0,0,1,0
2023-sp,"Rogovoy, Anna P",DANC 100,14,27,2,2,1,0,0,1,0,0,0,0,0,0
2023-sp,"Tecza, Aleksander",DANC 100,12,5,4,1,0,1,0,0,0,0,0,0,0,0
2023-sp,"Chin, Abigail W",DANC 116,10,11,1,2,1,1,0,0,0,0,0,0,0,0
2023-sp,"Lim, Sojung",DANC 116,2,16,3,0,0,1,0,1,0,0,0,0,0,0
2023-sp,"Henss, Jacob M",DANC 200,0,48,4,3,2,1,1,0,0,1,0,0,2,0
2023-sp,"Bowie, Joe H",DANC 340/AFRO 340,1,12,5,3,4,4,2,1,1,1,0,1,0,0
2023-sp,"Morales Aguirre, Marco An",CS 441,18,160,37,14,1,3,0,1,0,1,0,0,0,2
2023-sp,"Persiani, Gian Piero",EALC 230,31,49,22,6,6,1,2,2,0,0,1,0,0,0
2023-sp,"Neuburger, Langston P",EALC 250,5,3,3,3,5,0,0,0,0,0,1,0,1,1
2023-sp,"Song, Myoung-Sun",EALC 285/ANTH 285,13,8,6,2,0,0,0,0,1,0,0,0,0,0
2023-sp,"Song, Myoung-Sun",EALC 365,7,7,4,6,2,2,0,0,1,0,0,0,1,0
2023-sp,"Choi, Hyungsoo",ECE 110,7,22,5,10,11,6,2,8,1,2,7,2,4,1
2023-sp,"Gilbert, Matthew",ECE 110,6,14,6,10,8,4,4,2,2,2,0,0,4,1
2023-sp,"Schuh, Jonathon K",ECE 110,17,30,21,19,17,8,6,10,3,3,4,0,8,2
2023-sp,"Shao, Yang V",ECE 110,19,25,10,12,12,12,9,7,7,6,1,2,15,2
2023-sp,"Aggarwal, Anu",ECE 120,25,16,15,11,8,4,4,1,1,1,0,0,3,1
2023-sp,"Bhowmik, Ujjal K",ECE 120,97,67,23,11,15,4,2,3,0,2,1,1,8,0
2023-sp,"Dong, Roy",ECE 120,20,29,12,7,9,6,2,2,1,1,2,0,1,1
2023-sp,"Bales, Amanda M",CW 100,18,1,2,1,0,0,0,1,0,0,0,0,0,0
2023-sp,"Zhao, Han",CS 598,3,72,8,0,5,0,0,1,0,0,0,0,1,0
2023-sp,"Sun, Jimeng",CS 598,151,107,43,18,10,6,0,1,0,0,0,0,2,1
2023-sp,"Jabbarvand Behr, Reyhaneh",CS 598,6,15,2,6,1,1,0,0,0,0,0,0,0,0
2023-sp,"Jiang, Nan",CS 443,10,12,6,7,12,5,4,0,0,1,1,1,0,2
2023-sp,"Lazebnik, Svetlana",CS 444,51,171,3,7,15,3,1,5,0,0,1,0,2,1
2023-sp,"Wang, Yuxiong",CS 445,42,62,40,16,6,4,1,5,0,4,3,2,4,3
2023-sp,"Telgarsky, Matus J",CS 446,11,43,39,23,12,9,5,7,1,0,2,2,0,1
2023-sp,"Hockenmaier, Julia C",CS 447,33,47,36,16,5,6,2,1,0,0,0,0,2,0
2023-sp,"Smaragdis, Paris",CS 448,31,27,7,0,5,0,0,3,0,0,0,0,1,0
2023-sp,"Solomonik, Edgar V",CS 450/CSE 401/ECE 491/MATH 450,15,18,17,20,7,11,5,1,1,1,1,0,2,0
2023-sp,"Levchenko, Kirill I",CS 461/ECE 422,10,12,21,14,21,15,11,11,7,3,3,4,3,0
2023-sp,"Schneider, Abigail M",CMN 326,8,16,9,8,5,5,0,2,1,1,1,0,0,0
2023-sp,"Cobb, Camille M",CS 464,12,22,1,3,2,1,0,0,0,0,0,0,0,0
2023-sp,"Sundaram, Hari",CS 469,23,41,7,1,2,0,0,1,0,0,0,0,0,0
2023-sp,"Chan, Timothy M",CS 473/CSE 414/MATH 473,6,13,20,17,12,9,5,1,3,0,2,0,3,0
2023-sp,"Singh, Gagandeep",CS 477/ECE 478,13,18,19,12,6,3,2,0,0,0,0,0,2,1
2023-sp,"Farivar, Reza",CS 498,75,223,45,26,58,7,6,7,1,1,3,0,2,1
2023-sp,"Wang, Shenlong",CS 498,35,14,1,1,3,0,0,0,0,0,1,0,2,0
2023-sp,"Cunningham, Kathryn I",CS 500,1,17,2,1,1,1,0,0,0,0,0,0,0,0
2023-sp,"Zhai, Chengxiang",CS 510,45,32,9,2,3,0,0,0,0,0,0,0,0,0
2023-sp,"Xu, Tianyin",CS 523,5,13,6,5,0,0,0,0,0,0,0,0,0,0
2023-sp,"Gupta, Indranil",CS 525,4,11,10,6,7,0,0,0,0,0,0,0,0,0
2023-sp,"Zhang, Lingming",CS 527,0,17,8,3,0,0,0,0,0,0,0,0,0,0
2023-sp,"Godfrey, Philip B",CS 538,3,32,19,3,2,0,0,0,0,0,0,0,0,0
2023-sp,"Bailey, Brian P",CS 565,2,72,22,8,8,2,1,2,0,0,0,0,0,0
2023-sp,"Kumar, Ranjitha",CS 568,52,13,4,0,0,0,0,1,0,0,0,0,0,0
2023-sp,"Tolbert, Amanda",CMN 326,1,4,8,4,4,1,3,1,2,2,0,0,0,0
2023-sp,"Eberline, Ana Lisa P",CMN 232,0,30,9,0,4,0,1,2,0,0,0,0,2,1
2023-sp,"Morrow, Ethan",CMN 326,2,8,7,8,5,6,5,4,1,3,0,0,1,0
2023-sp,"Lewis, Alisha L",CI 448,0,24,0,0,1,0,0,0,0,0,0,0,0,0
2023-sp,"Moton, Theopolies J",CI 401,26,4,1,0,0,1,0,0,0,0,0,0,1,0
2023-sp,"Poetzel, Adam R",CI 401,22,6,1,1,0,0,0,1,0,0,0,0,0,0
2023-sp,"Gutzmer, Cara K",CI 404,0,15,4,1,4,1,1,1,0,0,0,0,0,0
2023-sp,"Masters, Angela L",CI 404,13,18,0,0,2,1,0,0,1,0,0,0,0,0
2023-sp,"Gonzalez, Monica",CI 415,0,23,3,2,2,0,0,0,0,0,0,0,0,0
2023-sp,"Yang, Hye-In",CI 415,0,26,1,0,0,2,0,0,1,0,0,0,0,0
2023-sp,"Altshuler, Mari R",CI 432,0,38,5,2,1,0,0,0,0,0,0,0,0,0
2023-sp,"Poetzel, Adam R",CI 432,7,13,0,1,1,2,0,0,0,0,0,0,0,0
2023-sp,"Lindgren, Robb W",CI 439,0,22,2,1,0,1,0,0,0,0,0,0,1,0
2023-sp,"Taylor, Angelica I",CI 445,0,18,2,1,0,1,0,1,0,0,0,0,0,0
2023-sp,"Tanner, Mark N",CI 446,12,14,1,0,0,0,0,1,1,0,0,0,0,0
2023-sp,"McMillian, Rachel D",CI 448,21,1,0,0,1,0,0,0,0,0,0,0,0,0
2023-sp,"Jacobs, Curtis S",CMN 323,22,10,2,3,4,2,3,1,2,0,0,0,2,0
2023-sp,"Leonardi, Nicholas J",CI 451,2,19,1,1,0,0,0,0,0,1,0,0,0,0
2023-sp,"Talafian, Hamideh",CI 451,1,17,5,0,1,0,0,0,0,0,0,0,0,0
2023-sp,"Bridges, Matthew M",CI 473,41,39,3,3,0,0,2,0,0,0,0,0,0,0
2023-sp,"MacGregor, Nancy A",CI 475,0,30,7,0,6,2,1,0,0,0,0,0,0,0
2023-sp,"Zhang, Jiadi",CI 475,5,15,3,0,1,0,0,0,0,0,0,0,0,0
2023-sp,"Paquette, Luc",CI 487,0,21,4,1,1,0,0,0,1,0,0,0,0,0
2023-sp,"Durst, Sarah M",CI 517/LLS 517,5,9,5,0,2,2,1,0,0,0,1,0,0,0
2023-sp,"Jennings, Elisa T",CLCV 100,2,3,1,1,5,4,3,5,1,0,2,1,3,0
2023-sp,"Warnement, Sophia I",CLCV 102,151,28,15,9,9,1,5,1,1,1,0,0,4,2
2023-sp,"Solomon, Jon",CLCV 111,40,3,0,0,1,2,1,0,0,0,0,1,0,0
2023-sp,"Fenton, Vaughn H",CLCV 115,10,34,2,3,2,1,1,4,0,0,0,0,3,0
2023-sp,"Hale, Jon N",CI 401,0,25,6,0,1,0,0,0,1,0,0,0,0,0
2023-sp,"Kang, Jina",CI 210,0,21,3,0,0,1,0,0,0,0,0,0,0,0
2023-sp,"Fitzjarrald, Amy E",CHP 199,3,12,1,2,4,0,0,0,0,0,0,0,1,0
2023-sp,"Musser, Allison J",CHLH 581,8,14,2,1,0,0,0,0,0,0,0,0,0,0
2023-sp,"Cole, Sara L",CHLH 206,21,68,14,9,10,4,1,4,4,0,1,2,8,0
2023-sp,"Grabert, Ren",CHLH 206,0,127,0,0,17,0,1,1,0,0,1,0,2,0
2023-sp,"Greenwalt, Nancy H",CHLH 210,39,57,34,11,10,9,2,2,2,2,0,2,4,0
2023-sp,"Bazan, Christy N",CHLH 243,0,402,0,0,104,0,0,32,0,0,5,0,2,1
2023-sp,"Chiu, Chung-Yi",CHLH 244,14,4,1,3,0,3,1,0,1,0,0,1,3,0
2023-sp,"Raj, Minakshi",CHLH 250,8,55,19,8,8,0,1,3,1,0,0,0,0,0
2023-sp,"Freehill, Ariel N",CHLH 260,0,770,0,0,61,0,0,11,0,0,1,0,11,1
2023-sp,"Bazan, Christy N",CHLH 274,89,156,31,26,20,9,5,9,0,0,0,0,8,1
2023-sp,"Geiger, Sarah D",CHLH 274,5,4,7,3,5,5,3,0,1,1,0,0,0,0
2023-sp,"DiFilippo, Kristen N",CHLH 304,15,14,8,1,2,3,1,0,1,1,0,0,2,0
2023-sp,"Frasca, Elizabeth A",CHLH 304,27,21,16,11,13,4,1,1,3,3,0,1,6,0
2023-sp,"Clarke, Caitlin L",CHLH 380,0,65,0,0,2,0,0,0,0,0,2,0,1,0
2023-sp,"Choi, Soyoung",CHLH 404/HDFS 404,9,15,0,1,3,0,0,0,0,0,0,0,0,0
2023-sp,"Bensken, Jeanine D",CHLH 409/GWS 409,40,32,8,1,2,0,1,0,0,0,0,0,0,0
2023-sp,"Pearson, Sara L",CHLH 410,29,36,18,7,8,5,4,0,0,0,0,1,0,0
2023-sp,"Selzer Ninomiya, Ana Laur",CHLH 415,14,1,4,1,1,0,0,0,0,0,0,0,0,0
2023-sp,"Kang, Hyojung",CHLH 421,14,15,9,6,3,2,1,3,5,1,0,0,0,0
2023-sp,"Mejia, Shannon",CHLH 441,5,13,0,1,1,0,0,0,0,0,0,0,1,0
2023-sp,"Mamaril, Cezar Brian C",CHLH 455,18,16,10,1,7,2,1,0,2,0,0,0,0,0
2023-sp,"Hale, Timothy",CHLH 457/SOCW 457,11,17,17,7,8,3,1,1,0,1,1,1,1,0
2023-sp,"Barnes, Lynette C",CHLH 458,27,15,11,8,8,2,0,1,0,0,0,0,0,0
2023-sp,"Pearson, Sara L",CHLH 469/ENVS 469,75,12,0,0,0,0,1,0,0,0,0,0,0,0
2023-sp,"Mejia, Shannon",CHLH 577,0,20,9,0,1,0,0,0,0,0,0,0,0,0
2023-sp,"Jennings, Elisa T",CLCV 115,9,8,0,0,6,0,0,2,0,1,0,0,1,0
2023-sp,"Martinez, Jeffery D",CLCV 115,0,25,0,0,4,0,0,1,1,0,0,0,0,0
2023-sp,"Mylli, Eleonora",CLCV 115,9,65,1,2,8,0,1,6,0,0,1,0,2,0
2023-sp,"Rodriguez, Michael J",CMN 101,8,8,2,2,0,2,1,0,0,0,0,0,0,0
2023-sp,"St John, Jeremiah",CMN 101,1,8,8,2,2,1,1,0,1,0,0,0,0,0
2023-sp,"Stewart, Nathaniel M",CMN 101,6,21,4,3,3,0,2,3,0,1,1,0,0,1
2023-sp,"Tchamdjoci, Monet D",CMN 101,0,4,13,7,7,6,3,4,1,0,1,0,0,0
2023-sp,"Yan, Jia",CMN 101,1,12,2,1,1,1,0,1,1,0,0,0,1,0
2023-sp,"Quick, Brian L",CMN 102,26,40,14,11,24,11,9,16,5,2,7,1,7,0
2023-sp,"Freeman, Julius D",CMN 112,0,15,21,3,1,0,1,1,0,0,0,1,0,0
2023-sp,"Mai, Shuxian",CMN 112,0,18,1,1,0,2,0,0,0,0,0,0,0,0
2023-sp,"Sanders, Jacob D",CMN 112,0,19,2,1,0,0,0,0,0,0,0,0,0,0
2023-sp,"O'Gorman, Thomas E",CMN 210,1,41,19,9,14,5,3,3,4,0,1,0,5,0
2023-sp,"Cunningham, Leanne M",CMN 211,1,13,11,4,9,1,1,4,0,0,0,0,1,0
2023-sp,"Okegbe, Samantha I",CMN 212,7,5,4,3,1,1,0,0,0,0,0,0,0,0
2023-sp,"Wright-Dixon, Trina J",CMN 214,2,3,3,10,4,2,2,6,1,0,0,0,0,0
2023-sp,"Klajbor-Smith, Michael F",CMN 220,0,19,1,1,0,0,0,0,0,0,0,0,0,1
2023-sp,"Farnworth, Megan J",CMN 230,7,11,7,9,6,4,3,0,2,0,0,0,3,0
2023-sp,"Kelpinski, Lindsay F",CMN 230,1,9,3,6,2,0,2,0,0,2,2,0,3,0
2023-sp,"Radhakrishnan, Chandrasek",ECE 206,0,17,5,1,0,6,1,0,0,0,0,0,0,0
2023-sp,"Koven, Michele E",CMN 232,1,9,2,2,7,2,0,1,0,1,0,0,0,0
2023-sp,"Cisneros, Josue D",CMN 250,0,15,6,1,6,1,0,0,1,0,0,0,0,0
2023-sp,"Khanam, Shaimaa",CMN 250,7,23,8,3,2,0,2,0,1,0,0,0,1,0
2023-sp,"Hartman, Daniel",CMN 260,14,4,8,3,8,2,4,4,4,0,1,0,2,0
2023-sp,"Pool, Kirsten",CMN 260,2,14,12,8,12,1,4,2,0,0,0,0,1,0
2023-sp,"Coles, Stewart M",CMN 277,12,12,6,8,5,4,1,0,1,1,2,0,1,0
2023-sp,"Murphy, John M",CMN 321,0,13,3,5,29,1,4,14,3,2,5,1,2,2
2023-sp,"Salas, Mia J",CMN 101,7,11,3,1,0,1,0,0,0,0,0,0,0,1
2023-sp,"Persad-Maharaj, Tamara",CMN 101,0,5,5,4,5,4,0,0,0,0,0,0,1,0
2023-sp,"Reymann, Emma F",CLCV 115,1,10,1,0,2,2,0,2,0,0,0,0,5,0
2023-sp,"Niemeyer, Frank",CMN 101,0,7,4,1,3,6,2,0,0,0,0,0,0,0
2023-sp,"Sotiroudis, Panagiotis",CLCV 115,9,37,0,6,1,0,0,3,0,2,0,0,4,0
2023-sp,"Vandervelde, Amy K",CLCV 115,6,18,1,1,2,1,0,0,0,1,0,0,0,0
2023-sp,"Warnement, Sophia I",CLCV 115,6,19,0,1,3,0,1,1,0,0,0,0,0,0
2023-sp,"Bevis, Elizabeth A",CLCV 116,4,29,9,6,14,1,0,4,0,0,2,0,2,0
2023-sp,"Hay, Brenden",CLCV 224,27,26,3,0,3,0,0,2,0,0,0,0,0,0
2023-sp,"Knierim, Michael",CLCV 224,20,26,3,0,7,2,0,0,1,0,2,0,2,0
2023-sp,"Martinez, Jeffery D",CLCV 224,0,31,0,0,0,1,0,0,0,0,0,0,0,0
2023-sp,"McQueen, Kelli A",CLCV 224,1,57,0,0,4,0,0,0,0,0,0,0,1,1
2023-sp,"Oliveira, Marcella",CLCV 224,0,53,2,1,2,0,1,1,0,0,0,0,3,0
2023-sp,"Kaufman, Brett S",CLCV 231/ARTH 217,32,63,11,8,2,0,0,1,1,0,0,0,1,1
2023-sp,"Bevis, Elizabeth A",CLCV 444/ARTH 416,5,10,3,3,2,1,1,1,1,0,0,0,0,0
2023-sp,"Alberti, George L",CMN 101,14,51,11,3,7,2,0,3,0,0,0,0,2,0
2023-sp,"Balester, Nathan",CMN 101,4,10,13,9,3,2,2,2,0,0,0,0,2,0
2023-sp,"Bishop, Mardia J",CMN 101,0,6,8,2,3,1,1,1,0,0,0,0,1,0
2023-sp,"Booth, Madison S",CMN 101,1,7,3,3,1,2,3,1,0,0,0,0,1,0
2023-sp,"Brewster, Jamille L",CMN 101,1,9,5,0,2,3,1,0,0,0,0,0,1,0
2023-sp,"Cox, Drew",CMN 101,0,9,7,7,9,5,0,2,1,0,2,0,1,0
2023-sp,"Gailey, Benjamin J",CMN 101,0,12,4,2,1,0,0,2,0,0,1,0,0,0
2023-sp,"Gallo, Franklin",CMN 101,2,14,15,6,7,0,0,0,0,0,0,0,0,0
2023-sp,"Gerlikovski, Emily R",CMN 101,1,10,10,2,2,7,3,4,2,0,1,0,2,0
2023-sp,"Knight, Aaron W",CMN 101,0,12,4,5,1,1,0,0,0,0,0,0,0,0
2023-sp,"Livingston, Noah M",CMN 101,1,6,3,3,4,2,0,1,0,0,1,0,0,0
2023-sp,"McGowan, Kathleen L",CMN 101,4,10,1,3,1,0,0,0,0,0,0,0,2,0
2023-sp,"Ravaioli, Umberto",ECE 205,109,65,35,16,17,12,11,10,5,1,0,0,0,0
2023-sp,"Snyder, Corey E",ECE 310,4,14,8,17,7,8,7,7,5,0,0,2,0,0
2023-sp,"Alvarez, Juan",ECE 210,3,9,1,3,9,3,2,5,7,3,3,2,3,1
2023-sp,"Mason, Terrence C",EPOL 201,0,13,4,1,2,1,1,0,0,0,1,0,0,0
2023-sp,"Baron, Iryce W",ENGL 280/GWS 280,3,12,2,6,2,0,1,0,0,1,1,1,0,1
2023-sp,"Oh, Rebecca",ENGL 285,2,11,8,3,0,1,1,1,0,0,0,1,1,0
2023-sp,"Guruparan, Akil",ENGL 286/AAS 286,1,9,6,4,6,0,0,1,0,0,0,0,1,0
2023-sp,"Fadely, Jonathan P",ENGL 301,6,8,4,3,2,1,0,0,0,0,0,0,0,0
2023-sp,"Basu, Manisha",ENGL 350,0,12,6,2,2,0,0,0,1,0,0,0,0,0
2023-sp,"Cole, Lucinda",ENGL 350,0,13,3,1,1,2,2,0,1,0,0,0,0,1
2023-sp,"Prendergast, Catherine J",ENGL 380,1,17,2,1,0,0,0,0,0,0,0,0,1,0
2023-sp,"Trilling, Renee",ENGL 411/MDVL 411,0,8,6,5,2,0,0,1,1,0,0,0,0,1
2023-sp,"Barnard, John L",ENGL 449,0,10,6,2,2,0,1,0,0,0,0,0,1,0
2023-sp,"Nazar, Hina",ENGL 455,3,13,4,4,0,0,0,0,0,0,0,0,0,0
2023-sp,"Green, Eric W",ENVS 301,11,9,5,0,0,1,0,1,0,0,0,0,2,0
2023-sp,"Mason, Terrence C",EPOL 202,4,24,8,2,5,0,4,0,0,0,0,0,0,0
2023-sp,"Chung, Eun Yi",ECON 535,2,11,7,2,0,0,0,0,0,0,0,0,0,0
2023-sp,"Pak, Yoon K",EPOL 403,0,51,0,4,0,0,0,1,1,0,0,0,0,0
2023-sp,"Burbules, Nicholas C",EPOL 406,0,11,11,2,2,1,0,0,0,0,0,0,0,0
2023-sp,"Burbules, Nicholas C",EPOL 407,0,28,12,6,0,0,0,0,0,0,0,0,0,1
2023-sp,"Barnett, Bernice M",EPOL 409,11,1,5,1,1,0,0,1,1,0,0,1,0,0
2023-sp,"Barnett, Bernice M",EPOL 410,17,3,5,1,0,0,0,0,0,0,0,0,0,0
2023-sp,"Oh, Eunjung",EPOL 472,0,50,3,0,0,1,2,0,1,0,0,0,3,0
2023-sp,"Kwon, Chang Kyu",EPOL 474,0,24,1,1,0,0,0,0,0,0,0,0,0,0
2023-sp,"Best, Kelly J",EPOL 483,26,35,6,1,6,0,0,1,0,0,0,0,8,0
2023-sp,"Flores, Osly J",EPOL 515,0,24,0,0,0,0,0,0,0,0,0,0,1,0
